S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at 25°C),CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),TDS (mg/L),WQI,Hardness_Category,Unsafe_pH,Unsafe_EC,Unsafe_CO3,Unsafe_HCO3,Unsafe_Cl,Unsafe_F,Unsafe_SO4,Unsafe_NO3,Unsafe_Overall,Water_Safety,Water_Safety_Label
8399,Uttar Pradesh,Lalitpur,Baroda Swami,78.2961,24.8786,2023,7.99,510.0,0.0,256.0,14.0,2.05,30.0,18.0,210.0,76.0,17.0,13.0,40.0,326.40000000000003,74.36333333333333,Hard,False,False,False,False,False,True,False,False,True,Unsafe,1
8400,Uttar Pradesh,Lalitpur,Burhwar,78.32,24.7156,2023,7.74,421.0,0.0,238.0,14.0,0.41,10.0,7.0,200.0,60.0,12.0,10.0,3.0,269.44,70.64999999999999,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8401,Uttar Pradesh,Lalitpur,Genchwara,78.3981,24.8042,2023,7.45,725.0,0.0,232.0,78.0,0.3,36.0,45.0,250.0,88.0,7.0,60.0,0.0,464.0,88.23333333333333,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8402,Uttar Pradesh,Lalitpur,Lagaon,78.2817,24.8106,2023,7.54,675.0,0.0,244.0,71.0,0.21,39.0,21.0,310.0,76.0,29.0,27.0,1.0,432.0,108.09666666666668,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8403,Uttar Pradesh,Lalitpur,Pedariya Bag,78.4744,24.6311,2023,7.68,555.0,0.0,281.0,14.0,0.85,7.0,17.0,230.0,56.0,22.0,20.0,1.0,355.2,81.07666666666667,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8404,Uttar Pradesh,Lalitpur,Kumchri,78.7769,24.5242,2023,7.94,694.0,0.0,342.0,21.0,1.61,10.0,19.0,250.0,36.0,38.0,43.0,2.0,444.16,88.29333333333334,Hard,False,False,False,False,False,True,False,False,True,Unsafe,1
8405,Uttar Pradesh,Lalitpur,Block – Campus,78.7931,24.3726,2023,7.7,1451.0,0.0,439.0,184.0,0.2,82.0,55.0,670.0,80.0,113.0,45.0,3.0,928.64,230.73666666666668,Very Hard,False,False,False,False,False,False,False,True,True,Unsafe,1
8406,Uttar Pradesh,Lalitpur,Bhaira,78.6725,24.615,2023,7.94,500.0,0.0,244.0,14.0,1.36,7.0,19.0,190.0,60.0,10.0,27.0,0.0,320.0,67.64666666666666,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8407,Uttar Pradesh,Lalitpur,Gadoli,78.7722,24.4564,2023,8.04,528.0,0.0,256.0,14.0,1.53,8.0,22.0,170.0,36.0,19.0,45.0,2.0,337.92,61.10666666666666,Hard,False,False,False,False,False,True,False,False,True,Unsafe,1
8408,Uttar Pradesh,Lalitpur,Jamunjhir,78.8792,24.5167,2023,7.74,621.0,0.0,268.0,28.0,1.18,15.0,34.0,260.0,68.0,22.0,22.0,2.0,397.44,91.31666666666666,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8409,Uttar Pradesh,Lalitpur,Loharra,78.8856,24.4192,2023,7.57,1100.0,0.0,207.0,191.0,0.76,53.0,50.0,420.0,156.0,7.0,57.0,1.0,704.0,146.19,Very Hard,False,False,False,False,False,False,False,True,True,Unsafe,1
8410,Uttar Pradesh,Lalitpur,Bonjaana,78.5992,24.4394,2023,7.87,790.0,0.0,268.0,106.0,0.52,12.0,26.0,310.0,44.0,48.0,45.0,3.0,505.6,108.58999999999999,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8411,Uttar Pradesh,Lalitpur,Dhorisagar,78.8608,24.2919,2023,7.76,582.0,0.0,244.0,28.0,0.87,11.0,44.0,270.0,48.0,36.0,10.0,1.0,372.48,94.52666666666666,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8412,Uttar Pradesh,Lalitpur,Dongra Khurd,78.7167,24.3697,2023,7.89,677.0,0.0,378.0,21.0,0.36,15.0,16.0,330.0,44.0,53.0,22.0,3.0,433.28000000000003,114.88666666666667,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8413,Uttar Pradesh,Lalitpur,Gadanpur,78.675,24.4461,2023,7.76,652.0,0.0,317.0,21.0,1.12,6.0,21.0,240.0,52.0,26.0,39.0,2.0,417.28000000000003,84.76,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8414,Uttar Pradesh,Lalitpur,Gidhwaha,78.8667,24.3706,2023,7.86,712.0,0.0,317.0,28.0,0.8,11.0,40.0,300.0,76.0,26.0,22.0,1.0,455.68,104.99333333333334,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8415,Uttar Pradesh,Lalitpur,Guryana,78.6639,24.3667,2023,7.82,768.0,0.0,390.0,21.0,1.13,7.0,21.0,250.0,52.0,29.0,60.0,2.0,491.52,88.5,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8416,Uttar Pradesh,Lalitpur,Solda,78.7944,24.2783,2023,7.79,725.0,0.0,366.0,21.0,0.86,11.0,12.0,230.0,56.0,22.0,58.0,2.0,464.0,81.67999999999999,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8417,Uttar Pradesh,Lalitpur,Block – Campus,78.7266,24.5769,2023,7.42,1047.0,0.0,195.0,156.0,0.38,55.0,55.0,380.0,132.0,12.0,49.0,3.0,670.08,132.63,Very Hard,False,False,False,False,False,False,False,True,True,Unsafe,1
8418,Uttar Pradesh,Lalitpur,Bansi,78.48,24.88,2023,7.63,624.0,0.0,268.0,35.0,0.78,20.0,26.0,280.0,92.0,12.0,18.0,0.0,399.36,97.95666666666666,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8419,Uttar Pradesh,Lalitpur,Bhuchera,78.5656,24.9975,2023,7.65,998.0,0.0,207.0,149.0,0.51,76.0,34.0,390.0,116.0,24.0,50.0,1.0,638.72,135.87666666666667,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8420,Uttar Pradesh,Lalitpur,Bijrotha Para,78.3936,24.9686,2023,7.5,595.0,0.0,207.0,35.0,0.4,25.0,60.0,240.0,82.0,7.0,28.0,0.0,380.8,84.48333333333333,Hard,False,False,False,False,False,False,False,True,True,Unsafe,1
8421,Uttar Pradesh,Lalitpur,Block – Campus,78.4228,25.0397,2023,7.84,871.0,0.0,293.0,71.0,1.0,51.0,40.0,270.0,100.0,5.0,74.0,0.0,557.44,95.51666666666667,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8422,Uttar Pradesh,Lalitpur,Katila,78.5661,25.1653,2023,7.47,235.0,0.0,61.0,14.0,0.44,11.0,36.0,100.0,20.0,12.0,7.0,0.0,150.4,36.60666666666666,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
8423,Uttar Pradesh,Lalitpur,Laxmanpura,78.5717,25.0675,2023,7.75,322.0,0.0,159.0,7.0,0.53,16.0,0.0,140.0,36.0,12.0,11.0,0.0,206.08,50.32333333333333,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
8424,Uttar Pradesh,Lalitpur,Pawa,78.4725,25.0886,2023,7.39,498.0,0.0,207.0,43.0,1.2,23.0,18.0,210.0,64.0,12.0,29.0,0.0,318.72,74.12333333333333,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8425,Uttar Pradesh,Lalitpur,Serwans Kalan,78.4869,24.9789,2023,7.81,370.0,0.0,171.0,21.0,1.2,16.0,9.0,150.0,40.0,12.0,22.0,0.0,236.8,53.836666666666666,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8426,Uttar Pradesh,Lucknow,On Bakshi Ka Talab-Indura Bagh,80.9017,27.0068,2023,7.79,770.0,0.0,476.0,14.0,0.51,10.0,0.0,324.0,52.0,47.0,43.0,5.0,492.8,113.16333333333334,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8427,Uttar Pradesh,Lucknow,"Sarvodaya Nagar , Indra Nagar ,",80.9742,26.88,2023,7.77,1126.0,0.0,360.0,96.0,0.43,61.0,80.0,446.0,52.0,76.0,63.0,6.0,720.64,155.01,Very Hard,False,False,False,False,False,False,False,True,True,Unsafe,1
8428,Uttar Pradesh,Lucknow,Karimnagar,81.1708,26.7394,2023,7.99,645.0,0.0,378.0,14.0,1.01,19.0,0.0,260.0,60.0,26.0,42.0,3.0,412.8,91.48,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8429,Uttar Pradesh,Lucknow,"On Gosaiganj Mohanlalganj Road, At",81.1014,26.7686,2023,8.02,421.0,0.0,207.0,14.0,0.53,22.0,0.0,180.0,36.0,22.0,12.0,2.0,269.44,64.07666666666667,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8430,Uttar Pradesh,Lucknow,"On Kakori Budheswar Road, At Raja",80.7931,26.8708,2023,7.93,652.0,0.0,317.0,36.0,0.7,11.0,12.0,269.0,48.0,36.0,36.0,4.0,417.28000000000003,94.48333333333333,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8431,Uttar Pradesh,Lucknow,On Itaunja Malihabad Road At Mal,80.7969,26.9963,2023,7.95,631.0,0.0,378.0,14.0,0.67,0.0,0.0,270.0,68.0,24.0,24.0,5.0,403.84000000000003,94.75333333333333,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8432,Uttar Pradesh,Lucknow,"On Lucknow Hardoi Road, Near",80.7544,26.9422,2023,7.92,710.0,0.0,390.0,14.0,0.64,23.0,0.0,275.0,60.0,30.0,49.0,6.0,454.40000000000003,96.67333333333333,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8433,Uttar Pradesh,Lucknow,Nagram,81.1333,26.6197,2023,8.05,675.0,0.0,372.0,21.0,1.64,25.0,0.0,210.0,56.0,17.0,67.0,5.0,432.0,74.93333333333334,Hard,False,False,False,False,False,True,False,False,True,Unsafe,1
8434,Uttar Pradesh,Lucknow,"On Raebareili Road, At Mohanlalganj",81.1331,26.6194,2023,7.96,604.0,0.0,342.0,14.0,0.54,9.0,0.0,252.0,44.0,34.0,30.0,4.0,386.56,88.66666666666667,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8435,Uttar Pradesh,Lucknow,Tikra,81.02,26.5878,2023,7.76,651.0,0.0,366.0,21.0,0.38,16.0,7.0,270.0,64.0,26.0,36.0,5.0,416.64,94.75666666666666,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8436,Uttar Pradesh,Lucknow,On Lucknow Kanpur Road Near,80.8586,26.7522,2023,7.55,1205.0,0.0,500.0,71.0,0.55,50.0,41.0,459.0,84.0,60.0,44.0,6.0,771.2,159.53333333333333,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8437,Uttar Pradesh,Lucknow,Parwar Pachim,80.9411,26.6908,2023,8.04,892.0,0.0,427.0,50.0,0.46,35.0,0.0,295.0,60.0,35.0,86.0,5.0,570.88,103.98666666666666,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8438,Uttar Pradesh,Lucknow,Sarojini Nagar,80.8653,26.7783,2023,7.92,646.0,0.0,378.0,14.0,0.42,11.0,0.0,225.0,48.0,25.0,58.0,4.0,413.44,79.79333333333334,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8439,Uttar Pradesh,Maharajganj,Sonchirraya Shivlahatola,83.3069,27.2834,2023,8.01,327.0,0.0,171.0,7.0,0.17,6.0,0.0,150.0,44.0,10.0,4.0,3.0,209.28,53.76,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8440,Uttar Pradesh,Maharajganj,Biraichi,83.7293,27.0198,2023,7.79,481.0,0.0,232.0,14.0,0.0,16.0,0.0,180.0,64.0,5.0,26.0,3.0,307.84000000000003,64.2,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8441,Uttar Pradesh,Maharajganj,Block Office,83.6129,27.0715,2023,7.69,888.0,0.0,366.0,57.0,0.0,44.0,0.0,350.0,100.0,24.0,39.0,5.0,568.32,122.19,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8442,Uttar Pradesh,Maharajganj,Block Office,83.5421,27.1456,2023,7.78,420.0,0.0,220.0,14.0,0.36,0.0,0.0,180.0,44.0,17.0,11.0,4.0,268.8,63.99333333333333,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8443,Uttar Pradesh,Maharajganj,Pakdi Forest,83.4465,27.1372,2023,7.89,607.0,0.0,329.0,7.0,0.67,11.0,0.0,220.0,40.0,29.0,35.0,3.0,388.48,77.98666666666666,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8444,Uttar Pradesh,Maharajganj,Block Office,83.592,27.2369,2023,8.05,327.0,0.0,134.0,14.0,0.19,31.0,0.0,140.0,44.0,7.0,10.0,2.0,209.28,50.44,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
8445,Uttar Pradesh,Maharajganj,Ganeshpur,83.5953,27.3973,2023,7.67,209.0,0.0,85.0,14.0,0.12,0.0,11.0,90.0,20.0,10.0,6.0,0.0,133.76,33.25333333333334,Moderately Hard,False,False,False,False,False,False,False,False,False,Safe,0
8446,Uttar Pradesh,Maharajganj,Lalpur,83.7411,27.3953,2023,7.62,632.0,0.0,293.0,21.0,0.27,37.0,0.0,290.0,56.0,36.0,8.0,5.0,404.48,101.31333333333333,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8447,Uttar Pradesh,Maharajganj,Block Office,83.3102,27.0962,2023,7.84,527.0,0.0,281.0,14.0,0.52,6.0,0.0,200.0,48.0,19.0,24.0,3.0,337.28000000000003,71.03666666666668,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8448,Uttar Pradesh,Mahoba,Bari,79.8887,25.5397,2023,8.32,2032.0,30.0,805.0,142.0,1.44,48.0,45.0,270.0,32.0,46.0,335.0,1.0,1300.48,99.54666666666667,Hard,False,True,False,True,False,False,False,False,True,Unsafe,1
8449,Uttar Pradesh,Mahoba,Hand Pump Of Block Office,79.7481,25.3933,2023,7.92,1450.0,0.0,439.0,220.0,1.41,30.0,15.0,450.0,56.0,74.0,124.0,0.0,928.0,157.47333333333333,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8450,Uttar Pradesh,Mahoba,Rivai,79.7839,25.4804,2023,7.63,956.0,0.0,390.0,99.0,0.54,10.0,0.0,330.0,68.0,38.0,66.0,4.0,611.84,115.73,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8451,Uttar Pradesh,Mahoba,Badera Khurd,79.5722,25.1794,2023,7.88,888.0,0.0,439.0,21.0,0.62,8.0,37.0,300.0,72.0,29.0,59.0,0.0,568.32,105.58666666666666,Very Hard,False,False,False,False,False,False,False,False,False,Safe,0
8452,Uttar Pradesh,Mahoba,-----Do-----,79.5661,25.2541,2023,7.41,1780.0,0.0,439.0,256.0,1.07,112.0,57.0,410.0,128.0,22.0,216.0,4.0,1139.2,145.07,Very Hard,False,True,False,False,True,False,False,True,True,Unsafe,1
8453,Uttar Pradesh,Mahoba,Majhgawan,79.6562,25.1716,2023,7.41,2000.0,0.0,378.0,327.0,0.88,96.0,109.0,560.0,156.0,41.0,184.0,0.0,1280.0,195.8033333333333,Very Hard,False,True,False,False,True,False,False,True,True,Unsafe,1
8454,Uttar Pradesh,Mahoba,Rawatpura,79.6575,25.2606,2023,7.52,580.0,0.0,256.0,21.0,0.4,35.0,15.0,210.0,56.0,17.0,35.0,2.0,371.2,74.44,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8455,Uttar Pradesh,Mahoba,Saguniya,79.4847,25.1764,2023,7.94,1022.0,0.0,464.0,43.0,1.29,29.0,28.0,340.0,88.0,29.0,73.0,0.0,654.08,119.38666666666667,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8456,Uttar Pradesh,Mahoba,Thurat,79.5249,25.2751,2023,7.54,720.0,0.0,342.0,36.0,0.98,15.0,16.0,230.0,52.0,24.0,59.0,0.0,460.8,81.58,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8457,Uttar Pradesh,Mahoba,Atghar,80.1695,25.4968,2023,7.57,1001.0,0.0,415.0,64.0,0.75,40.0,27.0,370.0,92.0,34.0,56.0,1.0,640.64,129.19333333333333,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8458,Uttar Pradesh,Mahoba,Barbai,80.0435,25.4845,2023,8.15,957.0,0.0,500.0,21.0,1.54,22.0,10.0,110.0,28.0,10.0,168.0,0.0,612.48,42.57333333333333,Moderately Hard,False,False,False,False,False,True,False,False,True,Unsafe,1
8459,Uttar Pradesh,Mahoba,Bhandra,79.8452,25.1578,2023,7.42,1510.0,0.0,366.0,149.0,0.55,92.0,174.0,480.0,108.0,50.0,121.0,2.0,966.4,167.50666666666666,Very Hard,False,True,False,False,False,False,False,True,True,Unsafe,1
8460,Uttar Pradesh,Mahoba,Block In Mahoba Town,79.8951,25.2982,2023,7.62,1288.0,0.0,293.0,170.0,0.67,81.0,87.0,410.0,112.0,31.0,105.0,0.0,824.32,143.5,Very Hard,False,False,False,False,False,False,False,True,True,Unsafe,1
8461,Uttar Pradesh,Mahoba,Ghutbai,79.955,25.2728,2023,7.64,1228.0,0.0,500.0,135.0,1.5,7.0,0.0,340.0,76.0,36.0,123.0,4.0,785.9200000000001,119.97333333333334,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8462,Uttar Pradesh,Mahoba,Gugaura,79.9575,25.3525,2023,7.76,1204.0,0.0,525.0,92.0,1.39,18.0,18.0,280.0,44.0,41.0,147.0,0.0,770.5600000000001,99.93333333333334,Hard,False,False,False,True,False,False,False,False,True,Unsafe,1
8463,Uttar Pradesh,Mahoba,Kabrai,80.0054,25.3878,2023,8.06,1240.0,0.0,476.0,107.0,1.49,38.0,32.0,300.0,60.0,36.0,140.0,1.0,793.6,106.82,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8464,Uttar Pradesh,Mahoba,Pawa,79.76,25.2653,2023,7.62,1094.0,0.0,512.0,57.0,1.23,28.0,21.0,350.0,44.0,58.0,89.0,0.0,700.16,122.85333333333334,Very Hard,False,False,False,True,False,False,False,False,True,Unsafe,1
8465,Uttar Pradesh,Mahoba,Srinagar,79.7789,25.1737,2023,7.77,1249.0,0.0,415.0,149.0,1.69,39.0,13.0,360.0,24.0,72.0,112.0,0.0,799.36,126.75333333333333,Very Hard,False,False,False,False,False,True,False,False,True,Unsafe,1
8466,Uttar Pradesh,Mahoba,Bharwara,79.5585,25.3663,2023,7.64,1024.0,0.0,390.0,50.0,0.88,83.0,32.0,320.0,72.0,34.0,83.0,0.0,655.36,112.62666666666667,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8467,Uttar Pradesh,Mahoba,Budhi,79.6067,25.3774,2023,7.94,897.0,0.0,378.0,28.0,1.41,24.0,74.0,310.0,76.0,29.0,60.0,0.0,574.08,108.97000000000001,Very Hard,False,False,False,False,False,False,False,True,True,Unsafe,1
8468,Uttar Pradesh,Mahoba,-----Do-----,79.465,25.4266,2023,7.74,878.0,0.0,390.0,50.0,0.75,39.0,9.0,240.0,44.0,31.0,90.0,0.0,561.92,85.50666666666666,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8469,Uttar Pradesh,Mahoba,Khero Kalan,79.3765,25.3455,2023,8.04,738.0,0.0,390.0,21.0,1.04,7.0,13.0,250.0,36.0,38.0,54.0,1.0,472.32,88.47333333333334,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8470,Uttar Pradesh,Mahoba,Rivai,79.468,25.346,2023,7.61,1501.0,0.0,451.0,178.0,0.94,96.0,25.0,430.0,60.0,67.0,144.0,0.0,960.64,150.87333333333333,Very Hard,False,True,False,False,False,False,False,False,True,Unsafe,1
8471,Uttar Pradesh,Mahoba,Shergarh,79.4776,25.4943,2023,7.59,635.0,0.0,305.0,28.0,0.27,15.0,8.0,240.0,84.0,7.0,33.0,0.0,406.40000000000003,84.64666666666666,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8472,Uttar Pradesh,Mainpuri,Bara,79.2975,27.15,2023,7.89,3157.0,0.0,305.0,270.0,0.45,877.0,0.0,930.0,256.0,70.0,241.0,8.0,2020.48,323.15333333333336,Very Hard,False,True,False,False,True,False,True,False,True,Unsafe,1
8473,Uttar Pradesh,Mainpuri,Naladurja,78.7313,27.2757,2023,8.66,858.0,0.0,293.0,107.0,0.57,39.0,8.0,295.0,24.0,56.0,72.0,9.0,549.12,104.08,Hard,True,False,False,False,False,False,False,False,True,Unsafe,1
8474,Uttar Pradesh,Mainpuri,Padariya Chauraha,78.8802,27.3012,2023,8.37,694.0,0.0,378.0,21.0,1.15,16.0,0.0,220.0,36.0,31.0,73.0,4.0,444.16,78.43666666666667,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8475,Uttar Pradesh,Mainpuri,Block Office,79.1071,27.1697,2023,8.21,2265.0,0.0,903.0,185.0,1.35,119.0,52.0,400.0,40.0,72.0,381.0,8.0,1449.6000000000001,143.62,Very Hard,False,True,False,True,False,False,False,True,True,Unsafe,1
8476,Uttar Pradesh,Mainpuri,Yadav Nagar Gunhiya,79.0211,27.0317,2023,8.34,556.0,0.0,287.0,21.0,0.44,13.0,0.0,245.0,52.0,28.0,19.0,5.0,355.84000000000003,86.3,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8477,Uttar Pradesh,Mainpuri,Bamnipur,79.1686,27.033,2023,8.21,660.0,0.0,305.0,43.0,0.46,49.0,0.0,250.0,64.0,22.0,41.0,6.0,422.40000000000003,88.27,Hard,False,False,False,False,False,False,False,False,False,Safe,0
8478,Uttar Pradesh,Mainpuri,Block Office,79.2656,27.0316,2023,8.56,3252.0,108.0,1366.0,170.0,1.81,132.0,25.0,110.0,20.0,14.0,772.0,2.0,2081.28,50.36000000000001,Moderately Hard,True,True,False,True,False,True,False,False,True,Unsafe,1
8479,Uttar Pradesh,Mainpuri,"Near Katra Saman Chauraha, Shiv",79.1982,27.0305,2023,8.4,1957.0,48.0,671.0,107.0,1.65,222.0,14.0,260.0,32.0,43.0,373.0,7.0,1252.48,95.99000000000001,Hard,False,True,False,True,False,True,True,False,True,Unsafe,1
8480,Uttar Pradesh,Mainpuri,Nagariya,79.0239,27.1467,2023,8.25,841.0,0.0,403.0,43.0,1.19,47.0,0.0,260.0,36.0,41.0,77.0,5.0,538.24,92.22000000000001,Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8481,Uttar Pradesh,Mainpuri,Nagla Ramsingh,78.8766,27.1511,2023,8.19,870.0,0.0,439.0,28.0,0.48,51.0,0.0,360.0,88.0,34.0,50.0,5.0,556.8000000000001,125.63,Very Hard,False,False,False,False,False,False,False,False,False,Unsafe,1
8482,Uttar Pradesh,Mathura,Block H.Q,77.82,27.4114,2023,8.54,1728.0,36.0,549.0,156.0,4.8,151.0,49.0,250.0,20.0,48.0,305.0,11.0,1105.92,91.94,Hard,True,True,False,True,False,True,False,True,True,Unsafe,1
8483,Uttar Pradesh,Mathura,Block H.Q,77.5793,27.6208,2023,8.4,3675.0,24.0,281.0,936.0,4.4,150.0,110.0,720.0,84.0,122.0,505.0,1.0,2352.0,255.04999999999998,Very Hard,False,True,False,False,True,True,False,True,True,Unsafe,1
8484,Uttar Pradesh,Mathura,Ajnokh,77.4105,27.6734,2023,7.7,7471.0,0.0,415.0,1553.0,0.1,900.0,8.0,1810.0,196.0,320.0,860.0,29.0,4781.4400000000005,630.8033333333334,Very Hard,False,True,False,False,True,False,True,False,True,Unsafe,1
8485,Uttar Pradesh,Mathura,Baroli,77.5793,27.6745,2023,8.38,1710.0,12.0,378.0,177.0,1.85,230.0,0.0,270.0,36.0,44.0,265.0,2.0,1094.4,98.49333333333334,Hard,False,True,False,False,False,True,True,False,True,Unsafe,1
8486,Uttar Pradesh,Mathura,Block H.Q,77.5008,27.7262,2023,8.33,7482.0,30.0,695.0,1106.0,3.5,1523.0,54.0,2030.0,76.0,442.0,900.0,16.0,4788.4800000000005,704.3833333333333,Very Hard,False,True,False,True,True,True,True,True,True,Unsafe,1
8487,Uttar Pradesh,Mathura,Jatwari,77.5739,27.5739,2023,8.45,4356.0,24.0,537.0,596.0,3.7,800.0,17.0,540.0,44.0,104.0,780.0,6.0,2787.84,197.33666666666667,Very Hard,False,True,False,True,True,True,True,False,True,Unsafe,1
8488,Uttar Pradesh,Mathura,Karahari,77.5615,27.7604,2023,8.44,1772.0,36.0,390.0,184.0,3.1,165.0,19.0,320.0,36.0,56.0,245.0,4.0,1134.08,115.38666666666666,Very Hard,False,True,False,False,False,True,False,False,True,Unsafe,1
8489,Uttar Pradesh,Mathura,Umaraya,77.4742,27.6654,2023,8.47,9220.0,48.0,390.0,2198.0,2.4,880.0,0.0,2210.0,104.0,473.0,1140.0,8.0,5900.8,770.2233333333334,Very Hard,False,True,False,False,True,True,True,False,True,Unsafe,1
8490,Uttar Pradesh,Mathura,Panigaon Khader,77.7583,27.5952,2023,8.2,484.0,0.0,220.0,7.0,1.6,37.0,0.0,150.0,24.0,22.0,43.0,2.0,309.76,54.346666666666664,Hard,False,False,False,False,False,True,False,False,True,Unsafe,1
8491,Uttar Pradesh,Mathura,Block H.Q,77.7161,27.6307,2023,7.98,2977.0,0.0,561.0,355.0,0.63,431.0,15.0,450.0,60.0,72.0,459.0,34.0,1905.28,162.58333333333334,Very Hard,False,True,False,True,True,False,True,False,True,Unsafe,1
8492,Uttar Pradesh,Mathura,Block H.Q,77.3848,27.7165,2023,7.48,34180.0,0.0,2428.0,5672.0,2.1,5981.0,21.0,4400.0,524.0,742.0,4240.0,2895.0,21875.2,1583.0933333333332,Very Hard,False,True,False,True,True,True,True,False,True,Unsafe,1
8493,Uttar Pradesh,Mathura,Kamai,77.4336,27.6324,2023,8.49,3583.0,36.0,451.0,539.0,2.05,530.0,0.0,460.0,36.0,90.0,590.0,35.0,2293.12,168.10666666666665,Very Hard,False,True,False,False,True,True,True,False,True,Unsafe,1
8494,Uttar Pradesh,Mathura,Puthari,77.3194,27.7575,2023,8.52,2229.0,36.0,317.0,277.0,2.65,335.0,8.0,410.0,44.0,73.0,320.0,5.0,1426.56,146.93666666666667,Very Hard,True,True,False,False,True,True,True,False,True,Unsafe,1
8495,Uttar Pradesh,Mathura,Block H.Q,77.6495,27.8458,2023,8.01,5541.0,0.0,378.0,886.0,0.28,571.0,19.0,1040.0,120.0,178.0,545.0,5.0,3546.2400000000002,367.8066666666667,Very Hard,False,True,False,False,True,False,True,False,True,Unsafe,1
8496,Uttar Pradesh,Mathura,Nankpur Khader,77.5796,27.8945,2023,8.12,6621.0,0.0,512.0,794.0,0.92,1200.0,730.0,1470.0,124.0,282.0,620.0,500.0,4237.4400000000005,514.7766666666666,Very Hard,False,True,False,True,True,False,True,True,True,Unsafe,1
8497,Uttar Pradesh,Mathura,Surir,77.7207,27.7687,2023,8.2,4805.0,0.0,317.0,610.0,0.78,1200.0,22.0,940.0,96.0,170.0,700.0,22.0,3075.2000000000003,332.0833333333333,Very Hard,False,True,False,False,True,False,True,False,True,Unsafe,1
8498,Uttar Pradesh,Mathura,Block H.Q,77.7848,27.5495,2023,8.25,4677.0,0.0,647.0,1028.0,2.1,394.0,22.0,560.0,52.0,103.0,825.0,7.0,2993.28,205.00666666666666,Very Hard,False,True,False,True,True,True,True,False,True,Unsafe,1
8499,Uttar Pradesh,Mathura,Gaiyara,77.7989,27.589,2023,7.96,4581.0,0.0,464.0,858.0,0.38,500.0,26.0,780.0,120.0,116.0,700.0,6.0,2931.84,277.92333333333335,Very Hard,False,True,False,False,True,False,True,False,True,Unsafe,1
